question,answer
"What is the difference between self-isolation, self-quarantine and distancing?","Quarantine means restricting activities or separating people who are not ill themselves but may have been exposed to COVID-19. The goal is to prevent spread of the disease at the time when people just develop symptoms..

Isolation means separating people who are ill with symptoms of COVID-19 and may be infectious to prevent the spread of the disease.

Physical distancing means being physically apart. WHO recommends keeping at least 1-metre distance from others. This is a general measure that everyone should take even if they are well with no known exposure to COVID-19. "
Can children or adolescents catch COVID-19?,"Research indicates that children and adolescents are just as likely to become infected as any other age group and can spread the disease.

Evidence to date suggests that children and young adults are less likely to get severe disease, but severe cases can still happen in these age groups.

Children and adults should follow the same guidance on self-quarantine and self-isolation if there is a risk they have been exposed or are showing symptoms. It is particularly important that children avoid contact with older people and others who are at risk of more severe disease."
What can I do to protect myself and prevent the spread of disease?,"Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Most countries around the world have seen cases of COVID-19 and many are experiencing outbreaks. Authorities in China and some other countries have succeeded in slowing their outbreaks. However, the situation is unpredictable so check regularly for the latest news.

You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:

- Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.
- Maintain at least 1 metre distance between yourself and others. Why? When someone coughs, sneezes, or speaks they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person has the disease.
- Avoid going to crowded places. Why? Where people come together in crowds, you are more likely to come into close contact with someone that has COVID-19 and it is more difficult to maintain physical distance of 1 metre.
- Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and infect you.
- Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately and wash your hands. Why? Droplets spread virus. By following good respiratory hygiene, you protect the people around you from viruses such as cold, flu and COVID-19.
- Stay home and self-isolate even with minor symptoms such as cough, headache, mild fever, until you recover. Have someone bring you supplies. If you need to leave your house, wear a mask to avoid infecting others. Why? Avoiding contact with others will protect them from possible COVID-19 and other viruses.
- If you have a fever, cough and difficulty breathing, seek medical attention, but call by telephone in advance if possible and follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.
- Keep up to date on the latest information from trusted sources, such as WHO or your local and national health authorities. Why? Local and national authorities are best placed to advise on what people in your area should be doing to protect themselves."
"Is there a vaccine, drug or treatment for COVID-19?","While some western, traditional or home remedies may provide comfort and alleviate symptoms of mild COVID-19, there are no medicines that have been shown to prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials of both western and traditional medicines. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19 and will continue to provide updated information as soon research results become available.

The most effective ways to protect yourself and others against COVID-19 are to:

- Clean your hands frequently and thoroughly
- Avoid touching your eyes, mouth and nose
- Cover your cough with the bend of elbow or tissue. If a tissue is used, discard it immediately and wash your hands.
- Maintain a distance of at least 1 metre from others. "
Does WHO recommend wearing medical masks to prevent the spread of COVID-19?,"Currently, there is not enough evidence for or against the use of masks (medical or other) in healthy individuals in the wider community. However, WHO is actively studying the rapidly evolving science on masks and continuously updates its guidance.

Medical masks are recommended primarily in health care settings, but can be considered in other circumstances (see below). Medical masks should be combined with other key infection prevention and control measures such as hand hygiene and physical distancing.

Healthcare workers

Why? Medical masks and respirators such as N95, FFP2 or equivalent are recommended for and should be reserved for, healthcare workers while giving care to patients. Close contact with people with suspected or confirmed COVID-19 and their surrounding environment are the main routes of transmission, which means healthcare workers are the most exposed.

People who are sick and exhibiting symptoms of COVID-19

Why? Anyone who is sick, with mild symptoms such as muscle aches, slight cough, sore throat or fatigue, should isolate at home and use a medical mask according to WHO’s recommendation on home care of patients with suspected COVID-19. Coughing, sneezing or talking can generate droplets that cause can spread the infection. These droplets can reach the face of others nearby and land on the surrounding environment. If an infected person coughs, sneezes, or talks while wearing a medical mask, this can help to protect those nearby from infection. If a sick person needs to go to a health facility they should wear a medical mask.

Anyone taking care of a person at home who is sick with COVID-19

Why? Those caring for individuals who are sick with COVID-19 should wear a medical mask for protection. Again, close, frequent and prolonged contact with someone with COVID-19 puts caretakers at high risk. National decision makers may also choose to recommend medical mask use for certain individuals using a risk-based approach. This approach takes into consideration the purpose of the mask, risk of exposure and vulnerability of the wearer, the setting, the feasibility of use and the types of masks to be considered."
How to properly wear a medical mask?,"If you choose to wear a mask:

1. Before touching the mask, clean hands with an alcohol-based hand rub or soap and water
2. Take the mask and inspect it for tears or holes.
3. Orient which side is the top side (where the metal strip is).
4. Ensure the proper side of the mask faces outwards (the coloured side).
5. Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it moulds to the shape of your nose.
6. Pull down the mask’s bottom so it covers your mouth and your chin.
7. Do not touch the mask while you are wearing it for protection.
8. After use, take off the mask with clean hands; remove the elastic loops from behind the ears while keeping the mask away from your face and clothes, to avoid touching potentially contaminated surfaces of the mask.
9. Discard the mask in a closed bin immediately after use. Do not reuse the mask.
10. Perform hand hygiene after touching or discarding the mask – Use alcohol-based hand rub or, if visibly soiled, wash your hands with soap and water.

Be aware that there is a global shortage of medical masks (both surgical masks and N95 masks). These should be reserved as much as possible for health care workers.

Remember that  masks are not a substitute for other, more effective ways to protect yourself and others against COVID-19 such as frequently washing your hands, covering your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter from others.

Follow the advice of your national health authority on the use of masks."
How long does it take after exposure to COVID-19 to develop symptoms?,The time between exposure to COVID-19 and the moment when symptoms start is commonly around five to six days but can range from 1 – 14 days.
What is the connection between COVID-19 and animals?,"COVID-19 is spread through human-to-human transmission.

We already know a lot about other viruses in the coronavirus family and most of these types of viruses have an origin in animals. The COVID-19 virus (also called SARS-CoV-2) is a new virus in humans. The possible animal source of COVID-19 has not yet been confirmed but research is ongoing.

WHO continues to monitor the latest research on this and other COVID-19 topics and will update, as new findings are available."
Can I catch COVID-19 from my pet or other animals?,"Several dogs and cats (domestic cats and tigers) in contact with infected humans have tested positive for COVID-19. In addition, ferrets appear to be susceptible to the infection. In experimental conditions, both cats and ferrets were able to transmit infection to other animals of the same species. However, there is no evidence that these animals can transmit the disease to humans and spread COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks.

Minks raised in farms have also been detected with the virus. Most likely, they have been infected by farm workers. In a few instances, the minks that were infected by humans have transmitted the virus to other people. These are the first reported cases of animal-to-human transmission.

It is still recommended that people who are sick with COVID-19 and people who are at risk limit contact with companion and other animals. When handling and caring for animals, basic hygiene measures should always be implemented. This includes hand washing after handling animals, their food or supplies, as well as avoiding kissing, licking or sharing food.

More recommendations are available on the OIE website: https://www.oie.int/en/scientific-expertise/specific-information-and-recommendations/questions-and-answers-on-2019novel-coronavirus/

WHO continues to monitor the latest research on this and other COVID-19 topics and will update as new findings are available."
How long does the virus survive on surfaces?,"The most important thing to know about coronavirus on surfaces is that they can easily be cleaned with common household disinfectants that will kill the virus. Studies have shown that the COVID-19 virus can survive for up to 72 hours on plastic and stainless steel, less than 4 hours on copper and less than 24 hours on cardboard.

As, always clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose."
How to grocery shop safely?,"When grocery shopping, keep at least 1-metre distance from others and avoid touching your eyes, mouth and nose. If possible, sanitize the handles of shopping trolleys or baskets before shopping. Once home, wash your hands thoroughly and also after handling and storing your purchased products.

There is currently no confirmed case of COVID-19 transmitted through food or food packaging."
How to wash fruits and vegetables?,"Fruits and vegetables are important components of a healthy diet. Wash them the same way you should do under any circumstance: before handling them, wash your hands with soap and water. Then, wash fruits and vegetables thoroughly with clean water, especially if you eat them raw."
Are antibiotics effective in preventing or treating COVID-19?,"No. Antibiotics do not work against viruses; they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. In hospitals physicians will sometimes use antibiotics to prevent or treat secondary bacterial infections which can be a complication of COVID-19 in severely ill patients. They should only be used as directed by a physician to treat a bacterial infection."
Can I catch COVID-19 from the faeces of someone with the disease?,"While initial investigations suggest the virus may be present in faeces in some cases, to date, there have not been reports of faecal-oral transmission of COVID-19. Additionally, there is no evidence to date on the survival of the COVID-19 virus in water or sewage.

WHO is assessing ongoing research on the ways COVID-19 is spread and will continue to share new findings on this topic."
Can COVID-19 be transmitted at the workplace?,"COVID-19 spreads primarily through respiratory droplets or contact with contaminated surfaces. Exposure can occur at the workplace, while travelling to work, during work-related travel to an area with local community transmission, as well as on the way to and from the workplace."
What is the risk of contracting COVID-19 in the workplace?,"The risk of exposure to COVID-19 in the workplace depends on the likelihood of coming within 1 metre of others, in having frequent physical contact with people who may be infected with COVID-19, and through contact with contaminated surfaces and objects."
How can people assess the risk for exposure to COVID-19 in their workplace and plan for preventive measures?,"Managers with the support of an occupational health and safety advisor should carry out rapid risk assessments to determine the possibility of exposure risk in order to put in place preventive measures. This should be done for each specific work setting and each job.

Low exposure risk

Jobs or work without frequent, close contact with the general public or others. Workers in this group have minimal occupational contact with the public and other co-workers. Examples of such jobs may include remote workers (i.e., working from home), office workers without frequent close contact with others and workers providing teleservices.

Medium exposure risk

Jobs or tasks with close, frequent contact with the general public or others. This risk level may apply to workers who have frequent and close contact with the people in high-population-density work environments (e.g. food markets, bus stations, public transport, and other work activities where physical distancing of at least 1 metre may be difficult to observe), or tasks that require close and frequent contact between co-workers. This may also include frequent contact with people returning from areas with community transmission. Examples of such jobs may include frontline workers in retail, home deliveries, accommodation, construction, police and security, public transport, and water and sanitation.

High exposure risk

Jobs or tasks with close contact with people who may be more likely to have COVID-19, as well as contact with objects and surfaces possibly contaminated with the virus. Examples include transporting people known or suspected to have COVID-19 without separation between the driver and the passenger, providing domestic services or home care for people with COVID-19, and having contact with the deceased who were known or suspected of having COVID-19 at the time of their death. Jobs that may fall under this category include domestic workers, social care workers, personal transport  and home delivery providers and home repair technicians (plumbers, electricians) who have to provide services in the homes of people with COVID-19.  "
Who should carry out the workplace risk assessment?,"Employers and managers, in consultation with workers, should carry out and regularly update the risk assessment for work-related exposure to COVID-19, preferably with the support of occupational health services."
What are the key considerations for the workplace risk assessment?,"For each risk assessment, consider the environment, the task, the threat, resources available, such as personal protective equipment, and the feasibility of protective measures. The risk assessment should also extend to collective accommodation provided by the employer for workers, such as dormitories.  Essential public services, such as security and police, food retail, accommodation, public transport, deliveries, water and sanitation, and other frontline workers may be at an increased risk of exposure to occupational hazards for health and safety. Workers who may be at higher risk of developing severe COVID-19 illness because of age or pre-existing medical conditions should be considered in the risk assessment for individuals."
"How should employers decide when to open, close or re-open workplaces and/or suspend or downscale work activities?","Deciding to close or re-open a workplace or suspend or downscale work activities should rely on the risk assessment, the capacity to put in place protective measures and the level of compliance, and recommendations of national authorities."
What key measures to protect against COVID-19 should be undertaken in all workplaces?,"Measures to prevent transmission of COVID-19 that apply to all workplaces and all people at the workplace include frequent hand-washing or disinfection with alcohol based hand sanitizer, respiratory hygiene such as covering coughs, physical distancing of at least 1 metre or more according to the national recommendations, wearing of masks where distancing is not possible, regular environmental cleaning and disinfection, and limiting unnecessary travel. Clear policies and messages, training, and education for staff and managers to increase awareness of COVID-19 are essential. The management of people with COVID-19 or their contacts is also critical e.g. requiring workers who are unwell or who develop symptoms to stay at home, self isolate and contact a medical professional or the local COVID-19 information line for advice on testing and referral."
What additional measures should be taken at workplaces and for jobs at medium risk?,"Workplaces for jobs at medium risk require daily cleaning and disinfection at least two times a day of objects and surfaces that are touched regularly, including all shared rooms, surfaces, floors, bathrooms, and changing rooms. Consider suspending any activity where physical distancing of at least 1 metre cannot be implemented in full. If this is not possible, increase ventilation, implement enhanced regular hand hygiene, and require staff to wear appropriate face masks, goggles, gloves and work clothes during cleaning procedures that generate splashes, providing training on their use. Organize changing and washing of work clothes at the workplace, so that workers to do take them home.  "
What additional measures should be taken at workplaces and for jobs at hight risk?,"In work areas at high risk, assess the possibility of suspending the activity; enhance regular hand hygiene; provide medical masks, disposable gowns, gloves, and eye protection for workers who must work in the homes of people who are suspected or known to have COVID-19; train workers in infection prevention and control practices and use of personal protective equipment; avoid assigning tasks with high risk to workers who have pre-existing medical conditions, are pregnant, or older than 60 years of age."
What should be taken into consideration when serring a physical distance at the workplace?,"WHO recommends keeping a physical distance of at least 1 metre between each person in all settings, including in workplaces. Because transmission can occur in crowded workplaces, WHO recommends providing sufficient space, at least 10 square meters, for every worker. National recommendations for physical distancing may require greater physical distance and should be complied with.

In order to support compliance with national or local recommendations, implement physical distance guidelines in a way that is practical and feasible in the context of work tasks, and which is acceptable to both workers and employers. Stimulate workers to comply with physical distancing norms also at events outside the workplace, in the community, and in dormitories.

Risk assessment and consultation between employers and workers is very important for setting up and implementing physical distancing measures at the workplace. This may require modification of workstations, changing the use of common spaces and transport vehicles, staggered work shifts, split teams and other measures to reduce social mixing at the workplace.

If physical distancing measures at the workplace are not feasible for specific work tasks, consider whether the work can be suspended, and if this is not possible, apply additional protective measures, such as the use of screens, sneeze guards,  face masks, enhanced hand hygiene, ventilation and disinfection.

Physical distancing alone can’t prevent COVID-19 transmission, it is important that it is combined with other public health measures, such as hand and respiratory hygiene, environmental clean-up and disinfection of commonly touched surfaces and objects, ventilation, wearing face masks and a policy of staying at home if unwell. "
"What are the rights, duties and responsibilities of employers?","Employers, workers, and their organizations should collaborate with health authorities to prevent and control COVID-19. Cooperation between management and workers and their representatives is essential for workplace‐related prevention measures. International labour standards on the rights and responsibilities of workers and employers in occupational safety and health should be fully respected.

Employers, in consultation with workers and their representatives, should plan and implement measures to prevent and mitigate COVID-19 at the workplace through engineering and administrative controls, and provide personal protective equipment and clothing according to the risk assessment. Such measures should not involve any expenditure on the part of the workers.

Special measures are needed to protect workers at higher risk of developing severe disease, such as those age 60 and over, or with underlying medical conditions, upon recommendation of the occupational health services. Workers in the informal economy and digital labour platforms, those in small enterprises, domestic and migrant workers should not be left behind in the protection of their health and safety at work and their livelihood.  

There should be no social stigma or discrimination at the workplace for any reason, including access to information and protection from COVID-19, occupational health services and mental health and psychosocial support.

If COVID-19 is contracted through occupational exposure, it could be considered an occupational disease and, if so determined, should be reported and compensated according to the international labour standards and the national schemes for employment injury benefits."
"What are the rights, duties and responsibilities of workers?","Workers are responsible to follow the measures for occupational safety and health and infection prevention and control established for their workplace, and to participate in training provided by the employer. Workers should report to their supervisor any situation which may present an imminent and serious danger to their life or health. Workers have the right to remove themselves from any work situation that they have reasonable justification to believe presents an imminent and serious danger to their life or health, and should be protected from any undue consequences as a result of exercising this right. "
How can workplaces plan for the prevention and mitigation of COVID-19?,"Workplaces should develop action plans to prevent and mitigate COVID-19 as part of the business continuity plan and according to the results of the risk assessments and the epidemiological situation.

The action plan and preventive measures should be regularly monitored and updated. Workers and their representatives should be consulted and should participate in the development, monitoring and updating of the workplace COVID-19. It is very important to monitor the effectiveness of preventive measures, and the compliance of workers, visitors, customers, clients and sub-contractors with the measures. The plans should be updated when someone with known or suspected COVID-19 is at the workplace.   "
Can the return to the workplace be immediate after public measures are lifted?,"The return to work premises should be carefully planned ahead, with preventive measures put in place according to the risk assessment of the different jobs and work tasks. All possible risks for safety and health should be assessed, such as risks resulting from reduced maintenance of machines and facilities during the closure period.  If a return to work is rushed and not done in a phased and cautious manner, it puts lives at risk, and threatens to undermine efforts to restore social and economic activity."
Does WHO recommend thermal testing of people entering a workplace?,"Temperature screening cannot detect all cases of COVID-19, since infected individuals may not have fever early in the course of infection or illness, such as during the incubation period or just before other symptoms begin, even though they may already be infectious. Some people may reduce fever with a fever-reducing medication if they are concerned about the possible consequences of not coming to work. Relying on temperature screening alone will not stop the spread of COVID-19 at work.

Thermal screening at the workplace can be considered part of a package of measures to prevent and control COVID-19 at the workplace. Workers should be encouraged to self-monitor their health, possibly with the use of questionnaires, and take their own temperature regularly at home. Workplaces should adopt “stay at home if unwell” and flexible sick leave policies to discourage workers with symptoms consistent with COVID-19 from coming to the workplaces.  "
"Does WHO recommend workers wear masks at the workplace (office or others)? If yes, what type of masks?","Wearing masks depends on the risk assessment. For jobs and tasks that carry a medium or high risk, for people aged 60 and older, and for those with underlying health conditions, a medical mask and other personal protective equipment should be provided. Fabric masks or face coverings are currently recommended for younger people and those with no symptoms where physical distancing is not achievable. This prevents the spread of virus from the wearer (who could have COVID-19 but no symptoms) to others. The policy on wearing a mask or face covering in low risk workplaces should be in line with national or local guidelines. Masks may carry some risks if not used properly. "
Are there any directives on office ventilation and air conditioning use?,"There should be fresh, clean air in all workplaces. For jobs and work tasks at medium or high risk of exposure, WHO recommends an increased ventilation rate through natural aeration or artificial ventilation, preferably without re-circulation of the air. In case of air recirculation, filters should be cleaned regularly. "
What mental health and psychosocial support should be provided to workers during COVID-19?,"COVID-19 is associated with a range of concerns, such as fear of falling ill and dying, of being socially excluded, placed in quarantine, or losing a livelihood. Symptoms of anxiety and depression are common reactions for people in the context of COVID-19. Mental health and psychosocial support should be made available to all workers. Comprehensive risk assessments can help identify and mitigate related occupational hazards for mental health

Full Guideline Document Considerations for public health and social measures in the workplace in the context of COVID-19 is accessible at: https://www.who.int/publications/i/item/considerations-for-public-health-and-social-measures-in-the-workplace-in-the-context-of-covid-19"
What is dexamethasone and does it work against COVID-19?,"Dexamethasone is a corticosteroid used in a wide range of conditions for its anti-inflammatory and immunosuppressant effects.

It was tested in hospitalized patients with COVID-19 in the United Kingdom’s national clinical trial RECOVERY and was found to have benefits for critically ill patients.

According to preliminary findings shared with WHO (and now available as a preprint), for patients on ventilators, the treatment was shown to reduce mortality by about one third, and for patients requiring only oxygen, mortality was cut by about one fifth."
Were all patients in recovery given dexamethasone?,"Eligible patients were randomly allocated between several treatment arms. Dexamethasone was administered as an oral (liquid or tablets) or intravenous preparation, at a dose of 6 mg once daily for ten days, in one of the arms.

In pregnancy or breastfeeding women, patients were randomized to prednisolone (a milder corticosteroid) 40 mg administered by mouth."
Does WHO recommend the use of dexamethasone for COVID-19 patients?,WHO is in the process of updating treatment guidelines to include dexamethasone or other steroids.
Is dexamethasone on the WHO essential medicines List?,"Yes, dexamethasone has been on the WHO Model List of Essential Medicines (EML) since 1977 for several indications in multiple formulations. Since 2013, dexamethasone (Injectable formulation) has been indicated for respiratory distress syndrome in new-borns. Prednisolone is also on the EML and was included in 1984.

Dexamethasone and prednisolone are included on the EML for the following indications:

- allergic or hypersensitivity conditions, without further specifying the type
- pain and oedema due to malignancy in palliative care
- nausea and vomiting,
- as part of treatment protocols for some blood tissue cancers.

These indications are broad and can also include cytokine-related lung injury and as prevention or treatment of acute respiratory distress syndrome (ARDS) associated with severe acute respiratory infections (i.e. viral pneumonia). Both medicines are also recommended in children."
Is dexamethasone prequalified by WHO?,"Yes, dexamethasone solution for injection 4mg/ml in 1ml ampoules, manufactured by Kern Pharma SL, Spain, has been prequalified for its use in the management of diseases associated with HIV/AIDS, but not for COVID-19.

Another dexamethasone injection product is currently under assessment.

Manufacturers interested in prequalifying their product can contact the Prequalification Team at prequal@who.int  for further information."
What dose was used in the recovery trial?,"Dexamethasone was used in the Recovery Trial in oral (liquid or tablets) or intravenous preparation 6 mg once daily for ten days.

In pregnancy or breastfeeding women, prednisolone 40 mg administered by mouth (or intravenous hydrocortisone 80 mg twice daily) should be used instead of dexamethasone.

Note: It is permitted to switch between the two routes of administration according to clinical circumstances."
What are the typical side effects of dexamethasone?,"Dexamethasone is generally safe. It presents a favourable benefit-risk profile, particularly in patients with severe forms of pneumonia, while the benefit is less prominent in patients with non-severe pneumonia. As the treatment is short, even at high doses, corticosteroids are not associated with serious side effects. Potentially higher blood glucose levels (hyperglycaemia) are temporary.

Prolonged use (I.e., used for more than two weeks) may be associated with adverse events such as glaucoma, cataract, fluid retention, hypertension, psychological effects (e.g., mood swings, memory issues, confusion or irritation), weight gain, or increased risk of infections and osteoporosis.

To reiterate: All these adverse events are not associated with short term use (with the exception of hyperglycaemia that can worsen diabetes)."
How do the doses used in the recovery trial compare with those used normally?,The Recovery trial used dexamethasone 6mg daily oral or intravenous for ten days. Higher daily doses of dexamethasone have been used for other indications for a long time and are known to be safe.  
Can steroids be used in the elderly/children/pregnancy?,"They can be used in children and the elderly. In pregnancy, the Recovery trial used prednisolone orally or hydrocortisone by intravenous infusion instead of dexamethasone. Steroids are ubiquitous in terms of geographic use."
Is dexamethasone available across the world?,"Yes. Dexamethasone is off-patent and has been marketed in different formulations (e.g., tablets, liquid, solution for injection) for many years. It is generally available in most countries. There are several manufacturers of the product. One manufacturer has already been prequalified by WHO (Kern Pharma in Spain) while another is under assessment.

The most common formulations are:

- Tablets: 0.5mg, 0.75mg, 1mg, 1.5mg, 2mg, 4mg and 6mg
- Oral Solution: 0.5mg/5ml, 20mg/5ml and 1mg/ml (concentrate)
-  Injectable suspension: 4mg/ml, 20mg/5ml

In recent years there have been occasional reports of shortages of this product. It is important to quickly understand the projected volumes for COVID-19 utilization and manufacturing capacity to help assess the impact for existing indications and the potential need for substitute therapies, to ensure all patients retain access to a safe, effective, quality, affordable product to meet their therapeutic needs."
How many API suppliers are there?,"There are many manufacturers of Active Pharmaceutical Ingredients (API) around the world, ensuring a large and diversified capacity of production for this product. So far, we have identified ten potentially quality approved suppliers from Asia, North America, and Europe."
